run,lr,weight_decay,batch_size,epochs,momentum,best_acc,final_acc,status
1,0.002,0.0,128,50,0.9,0.6943,0.6943,ok
2,0.003,0.0,128,50,0.9,0.7028,0.7011,ok
3,0.004,0.0,128,50,0.9,0.6990,0.6990,ok
4,0.005,0.0,128,50,0.9,0.7177,0.7177,ok
5,0.006,0.0,128,50,0.9,0.7133,0.7064,ok
6,0.007,0.0,128,50,0.9,0.7064,0.7047,ok
7,0.008,0.0,128,50,0.9,0.6961,0.6961,ok
8,0.01,0.0,128,50,0.9,0.7026,0.7026,ok
9,0.005,0.0,128,50,0.9,0.7177,0.7177,ok
10,0.005,1e-05,128,50,0.9,0.7107,0.7077,ok
11,0.005,5e-05,128,50,0.9,0.7155,0.7057,ok
12,0.005,0.0001,128,50,0.9,0.7133,0.7103,ok
13,0.005,0.0002,128,50,0.9,0.7108,0.7082,ok
14,0.005,0.0005,128,50,0.9,0.7095,0.7022,ok
15,0.005,0.0,32,50,0.9,0.6924,0.6898,ok
16,0.005,0.0,64,50,0.9,0.6992,0.6805,ok
17,0.005,0.0,128,50,0.9,0.7177,0.7177,ok
18,0.005,0.0,256,50,0.9,0.6847,0.6768,ok
19,0.005,0.0,128,50,0.85,0.7027,0.7027,ok
20,0.005,0.0,128,50,0.88,0.6957,0.6957,ok
21,0.005,0.0,128,50,0.9,0.7177,0.7177,ok
22,0.005,0.0,128,50,0.92,0.7130,0.7121,ok
23,0.005,0.0,128,50,0.95,0.7114,0.7025,ok
24,0.005,0.0,128,60,0.9,0.7180,0.7096,ok
25,0.005,0.0001,128,60,0.9,0.7207,0.7096,ok
26,0.01,0.0001,128,60,0.9,0.7041,0.6984,ok
27,0.003,0.0,128,60,0.9,0.7042,0.7042,ok
28,0.007,0.0,128,60,0.9,0.7150,0.7027,ok
29,0.005,0.0,64,60,0.9,0.7116,0.7008,ok
30,0.005,0.0,256,60,0.9,0.6944,0.6858,ok
31,0.003,0.0002,256,50,0.91,0.6776,0.6776,ok
32,0.0096,1e-05,256,50,0.91,0.7098,0.7023,ok
33,0.0054,0.0002,256,50,0.93,0.7017,0.7011,ok
34,0.0082,0.0001,256,50,0.89,0.7028,0.6956,ok
35,0.002,0.0,64,50,0.88,0.6952,0.6892,ok
36,0.0028,0.0,256,50,0.9,0.6664,0.6658,ok
